OBJECTID_1,OBJECTID,tx_nome,tx_observacao,Shape__Area,Shape__Length
1,256,Varzea das Moças, ,7289404.77734375,15664.7254687436
2,257,Muriqui, ,5142424.61376953,11053.7269351372
3,258,Rio do Ouro, ,7921728.45458984,13777.1319348275
4,259,Serra Grande, ,5032194.86523438,12903.6604284354
5,260,Cafubá, ,4419896.59570313,9963.85582044531
6,261,Maravista, ,2244235.71875,7019.01752525008
7,262,Piratininga, ,9423544.26757813,18619.4931103566
8,263,Engenho do Mato, ,7208835.79638672,17432.960672437
9,264,Jacaré, ,5682860.18994141,12947.1788547705
10,265,Itacoatiara, ,2652455.77099609,12839.7096948876
11,266,Camboínhas, ,2506410.22363281,9192.2691025585
12,267,Santo Antônio, ,2595617.18505859,6728.74870589113
13,268,Maceió, ,1012955.00488281,4396.43570853468
14,269,Cantagalo, ,2540254.17138672,7799.597341503
15,270,Maria Paula, ,2410321.31542969,8072.2179087041
16,271,Matapaca, ,1407186.05810547,5564.77164612554
17,272,Badu, ,1290108.84326172,7066.2714804613
18,273,Largo da Batalha, ,1618070.9921875,9708.05772363852
19,274,Sapê, ,2669046.51513672,9351.63103745209
20,275,Ititioca, ,1362101.3203125,6291.75242072432
21,276,Santa Bárbara, ,2109652.53710938,6594.31538666022
22,277,Barreto, ,2261451.40722656,8906.63757417294
23,278,Vila Progresso, ,3362915.15039063,10907.983068006
24,279,Engenhoca, ,1899663.26123047,6659.73219536255
25,280,Fonseca, ,5858205.39453125,12682.1866427429
26,281,Caramujo, ,2393332.00488281,7978.51406471443
27,282,Cubango, ,1011244.06787109,4424.64338658589
28,283,Santana, ,1035237.33544922,5834.867280402
29,284,Tenente Jardim, ,493272.796875,4145.77909372417
30,285,São Lourenço, ,1047620.99169922,4812.19445409359
31,286,Viçoso Jardim, ,1264749.68603516,6693.11868793053
32,287,Baldeador, ,1963372.77783203,6322.09142523089
33,288,São Francisco, ,3145064.38330078,12063.9757068236
34,289,Charitas, ,2389729.05175781,9472.39445407487
35,290,Ponta D'Areia, ,1191828.8671875,7308.54061046249
36,291,Gragoata, ,239782.31640625,2098.06911344467
37,292,São Domingos, ,735405.192871094,4490.28567484317
38,293,Jurujuba, ,2392575.796875,13251.8476104294
39,294,Viradouro, ,463558.081542969,3795.31992167672
40,295,Cachoeira, ,609642.047851563,4891.68253787489
41,296,Santa Rosa, ,2453336.26074219,9301.87107224869
42,297,Bairro de Fátima, ,654789.433105469,4053.43700393186
43,298,Pé Pequeno, ,366983.223632813,2546.55987911815
44,299,Icaraí, ,2409131.00830078,7736.7508611367
45,300,Ingá, ,642525.092285156,4784.91100772132
46,301,Morro do Estado, ,140175.373535156,1641.00149634396
47,302,Centro, ,2306977.44189453,9344.02434026153
48,303,Vital Brazil, ,398790.585449219,2641.29277268147
49,307,Itaipu, ,7204709.51074219,23020.4662313029
50,315,Ilha da Conceição,Ilha do Mocanguê,2018655.94335938,17310.0258639307
51,321,Boa Viagem, ,243046.400878906,4075.82574628098
52,322,Jardim Imbui, ,2899418.71240234,12153.9518190808
